request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,General_Party:token,General_Party:id,General_Party,#_of_Records,Total_$
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2018&c-t-p=1,s,CA,CA,y,2018,2018,c-t-p,1,Democratic,158891,99898789.90
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2016&c-t-p=1,s,CA,CA,y,2016,2016,c-t-p,1,Democratic,135592,78951162.92
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2014&c-t-p=1,s,CA,CA,y,2014,2014,c-t-p,1,Democratic,89681,71015701.13
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2012&c-t-p=1,s,CA,CA,y,2012,2012,c-t-p,1,Democratic,74468,68013727.24
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OH&y=2012&c-t-p=2,s,OH,OH,y,2012,2012,c-t-p,2,Republican,50504,56855221.59
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=FL&y=2012&c-t-p=2,s,FL,FL,y,2012,2012,c-t-p,2,Republican,74828,53005524.48
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2012&c-t-p=2,s,CA,CA,y,2012,2012,c-t-p,2,Republican,42280,51119850.86
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2016&c-t-p=1,s,NY,NY,y,2016,2016,c-t-p,1,Democratic,68057,49531495.30
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2018&c-t-p=2,s,TX,TX,y,2018,2018,c-t-p,2,Republican,29569,49128520.80
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2014&c-t-p=1,s,NY,NY,y,2014,2014,c-t-p,1,Democratic,56589,48589218.69
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2016&c-t-p=2,s,CA,CA,y,2016,2016,c-t-p,2,Republican,34108,47145277.26
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2016&c-t-p=2,s,TX,TX,y,2016,2016,c-t-p,2,Republican,35599,46754816.64
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2014&c-t-p=2,s,CA,CA,y,2014,2014,c-t-p,2,Republican,42529,46654622.73
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2010&c-t-p=1,s,CA,CA,y,2010,2010,c-t-p,1,Democratic,50155,46344607.06
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2010&c-t-p=1,s,NY,NY,y,2010,2010,c-t-p,1,Democratic,46225,45095495.61
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=FL&y=2016&c-t-p=2,s,FL,FL,y,2016,2016,c-t-p,2,Republican,39517,44529710.69
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2012&c-t-p=1,s,NY,NY,y,2012,2012,c-t-p,1,Democratic,49238,44213227.12
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2010&c-t-p=2,s,CA,CA,y,2010,2010,c-t-p,2,Republican,46254,42988964.50
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2012&c-t-p=2,s,TX,TX,y,2012,2012,c-t-p,2,Republican,35528,41545263.23
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=FL&y=2016&c-t-p=1,s,FL,FL,y,2016,2016,c-t-p,1,Democratic,49992,40052260.67
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=NY&y=2018&c-t-p=1,s,NY,NY,y,2018,2018,c-t-p,1,Democratic,46021,40050532.57
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=TX&y=2014&c-t-p=2,s,TX,TX,y,2014,2014,c-t-p,2,Republican,32649,39768139.60
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=OH&y=2014&c-t-p=2,s,OH,OH,y,2014,2014,c-t-p,2,Republican,31529,38614128.26
dt=1&f-fc=1&c-exi=1&c-r-ot=L&s=CA&y=2018&c-t-p=2,s,CA,CA,y,2018,2018,c-t-p,2,Republican,27878,38422082.94
