,district,is_incumbent,name,party,percent,state,votes,won,year
0,District 1,1,Jo Bonner,R,97.9,Alabama,196374.0,1,2012
1,District 1,1,Bradley Byrne,R,68.2,Alabama,103758.0,1,2014
2,District 1,0,Burton LeFlore,D,31.7,Alabama,48278.0,0,2014
3,District 1,1,Bradley Byrne,R,96.4,Alabama,208083.0,1,2016
4,District 1,1,Bradley Byrne,R,63.3,Alabama,151150.0,1,2018
5,District 1,0,Robert Kennedy Jr.,D,36.7,Alabama,87540.0,0,2018
6,District 2,0,Therese Ford,D,36.3,Alabama,103092.0,0,2012
7,District 2,1,Martha Roby,R,63.6,Alabama,180591.0,1,2012
8,District 2,1,Martha Roby,R,67.3,Alabama,113103.0,1,2014
9,District 2,0,Erick Wright,D,32.6,Alabama,54692.0,0,2014
10,District 2,1,Martha Roby,R,48.8,Alabama,134886.0,1,2016
11,District 2,0,Nathan Mathis,D,40.5,Alabama,112089.0,0,2016
12,District 2,1,Martha Roby,R,61.5,Alabama,138581.0,1,2018
13,District 2,0,Tabitha Isner,D,38.5,Alabama,86580.0,0,2018
14,District 3,0,John Andrew Harris,D,35.8,Alabama,98141.0,0,2012
15,District 3,1,Mike Rogers,R,64.0,Alabama,175306.0,1,2012
16,District 3,1,Mike Rogers,R,66.1,Alabama,103558.0,1,2014
17,District 3,0,Jesse Smith,D,33.7,Alabama,52816.0,0,2014
18,District 3,1,Mike Rogers,R,66.9,Alabama,192164.0,1,2016
19,District 3,0,Jesse Smith,D,32.9,Alabama,94549.0,0,2016
20,District 3,1,Mike Rogers,R,63.9,Alabama,147480.0,1,2018
21,District 3,0,Mallory Hagan,D,36.1,Alabama,83145.0,0,2018
22,District 4,0,Daniel H. Boman,D,25.9,Alabama,69706.0,0,2012
23,District 4,1,Robert Aderholt,R,74.0,Alabama,199071.0,1,2012
24,District 4,1,Robert Aderholt,R,98.6,Alabama,132831.0,1,2014
25,District 4,1,Robert Aderholt,R,98.5,Alabama,235925.0,1,2016
26,District 4,1,Robert Aderholt,R,79.9,Alabama,183958.0,1,2018
27,District 4,0,Lee Auman,D,20.1,Alabama,46370.0,0,2018
28,District 5,0,Charlie L. Holley,D,34.9,Alabama,101772.0,0,2012
29,District 5,1,Mo Brooks,R,64.9,Alabama,189185.0,1,2012
30,District 5,1,Mo Brooks,R,74.4,Alabama,115338.0,1,2014
31,District 5,1,Mo Brooks,R,66.7,Alabama,205647.0,1,2016
32,District 5,0,Will Boyd,D,33.2,Alabama,102234.0,0,2016
33,District 5,1,Mo Brooks,R,61.1,Alabama,156532.0,1,2018
34,District 5,0,Peter Joffrion,D,38.9,Alabama,99694.0,0,2018
