state,district,won,won_pred,rel_won_proba,correct_pred
Alabama,District 1,1,1.0,0.9960614271100984,True
Alabama,District 2,1,1.0,0.9916285839001242,True
Alabama,District 3,1,1.0,0.8781235961188264,True
Alabama,District 4,1,1.0,0.9933284401880421,True
Alabama,District 5,1,1.0,0.9454814992165768,True
Alabama,District 6,1,1.0,0.9918310059670581,True
Alabama,District 7,0,0.0,1.0,True
Alaska,At-Large,1,1.0,0.8310629219567645,True
Arizona,District 1,0,0.0,0.7810600988646025,True
Arizona,District 2,0,1.0,0.8371020766277915,False
Arizona,District 3,0,0.0,0.8178748524735612,True
Arizona,District 4,1,1.0,0.9496409594943095,True
Arizona,District 5,1,1.0,0.9964224982205271,True
Arizona,District 6,1,1.0,0.9961892322382334,True
Arizona,District 7,0,0.0,1.0,True
Arizona,District 8,1,1.0,0.78999564940899,True
Arizona,District 9,0,1.0,0.716461829572633,False
Arkansas,District 1,1,1.0,0.9786609505180671,True
Arkansas,District 2,1,1.0,0.9026913594040009,True
Arkansas,District 3,1,1.0,0.9919175813903206,True
Arkansas,District 4,1,1.0,0.9018429326779942,True
California,District 1,1,1.0,0.9923483480318008,True
California,District 10,1,1.0,0.8887506143854285,True
California,District 11,0,0.0,0.8200233571395753,True
California,District 12,0,0.0,0.7798055316957462,True
California,District 13,0,0.0,1.0,True
California,District 14,0,0.0,0.9906096691228093,True
California,District 15,0,0.0,0.989278159268009,True
California,District 16,0,0.0,0.9979896195223958,True
California,District 17,0,0.0,0.9982748948760104,True
California,District 18,0,0.0,0.9201642129732467,True
California,District 19,0,0.0,0.9194812956052191,True
California,District 2,0,0.0,0.856424378520367,True
California,District 20,0,0.0,1.0,True
California,District 21,1,1.0,0.9203166656888283,True
California,District 22,1,1.0,0.9521005235930089,True
California,District 23,1,1.0,0.9790958614123124,True
California,District 24,0,0.0,0.8191568458575882,True
California,District 25,0,1.0,0.8808546967723754,False
California,District 26,0,0.0,0.9910788468999628,True
California,District 27,0,0.0,0.9069084297898102,True
California,District 28,0,0.0,0.977962973455242,True
California,District 29,0,0.0,0.9979896287687182,True
California,District 3,0,0.0,0.6560839915253486,True
California,District 30,0,0.0,0.950813747389377,True
California,District 31,0,0.0,0.9844041280608716,True
California,District 32,0,0.0,0.967742782533219,True
California,District 33,0,0.0,0.9743006409041067,True
California,District 34,0,0.0,1.0,True
California,District 35,0,0.0,0.9825395311972868,True
California,District 36,0,0.0,0.9622841130471954,True
California,District 37,0,0.0,0.9976150081541807,True
California,District 38,0,0.0,0.8523344681468986,True
California,District 39,1,1.0,0.9120561055910325,True
California,District 4,1,1.0,0.9009684607894943,True
California,District 40,0,0.0,1.0,True
California,District 41,0,0.0,0.7760153419028153,True
California,District 42,1,1.0,0.9532461197374859,True
California,District 43,0,0.0,0.8959966061998537,True
California,District 44,0,0.0,0.9923545948811568,True
California,District 45,1,1.0,0.935590782941275,True
California,District 46,0,0.0,0.8419119376346503,True
California,District 47,0,0.0,0.8012281139592459,True
California,District 48,0,1.0,0.9570085210591842,False
California,District 49,0,1.0,0.9338708225940229,False
California,District 5,0,0.0,1.0,True
California,District 50,1,1.0,0.9219020619828445,True
California,District 51,0,0.0,0.9187348691810399,True
California,District 52,0,0.0,0.7499646499300385,True
California,District 53,0,0.0,0.9849682673656983,True
California,District 6,0,0.0,0.9924720829267112,True
California,District 7,0,0.0,0.8904856406160475,True
California,District 8,1,1.0,0.9743603139691402,True
California,District 9,0,0.0,0.9194418643728153,True
Colorado,District 1,0,0.0,0.9904777305784365,True
Colorado,District 2,0,0.0,0.9707251946432474,True
Colorado,District 3,1,1.0,0.9477488671862446,True
Colorado,District 4,1,1.0,0.9450181628100023,True
Colorado,District 5,1,1.0,0.9917443998393413,True
Colorado,District 6,0,1.0,0.9365826426615576,False
Colorado,District 7,0,0.0,0.9400139202819925,True
Connecticut,District 1,0,0.0,0.9475225020989956,True
Connecticut,District 2,0,0.0,0.9730394903579289,True
Connecticut,District 3,0,0.0,0.9904805819892792,True
Connecticut,District 4,0,0.0,0.9201700317872685,True
Connecticut,District 5,0,0.0,0.9371807743241425,True
Delaware,At-Large,0,0.0,0.8154031284177056,True
Florida,District 1,1,1.0,0.8937866370775447,True
Florida,District 10,0,0.0,1.0,True
Florida,District 11,1,1.0,0.9224264185938831,True
Florida,District 12,1,1.0,0.9930192448376118,True
Florida,District 13,0,0.0,0.7144172357115902,True
Florida,District 14,0,0.0,1.0,True
Florida,District 15,1,1.0,0.7329648422566861,True
Florida,District 16,1,1.0,0.8064281052852366,True
Florida,District 17,1,1.0,0.6632114133343164,True
Florida,District 18,1,1.0,0.8616043046602887,True
Florida,District 19,1,1.0,0.7331587347654616,True
Florida,District 2,1,1.0,0.9002670267295175,True
Florida,District 20,0,0.0,1.0,True
Florida,District 21,0,0.0,1.0,True
Florida,District 22,0,0.0,0.9173280613450425,True
Florida,District 23,0,0.0,0.9493717241305006,True
Florida,District 24,0,0.0,1.0,True
Florida,District 25,1,1.0,0.7905463979127335,True
Florida,District 26,0,1.0,0.9080156532503856,False
Florida,District 27,0,1.0,0.7440970846045478,False
Florida,District 3,1,1.0,0.9792035440153204,True
Florida,District 4,1,1.0,0.8699514993112145,True
Florida,District 5,0,0.0,0.9112752296430354,True
Florida,District 6,1,1.0,0.7273927450883922,True
Florida,District 7,0,0.0,0.6968197514642901,True
Florida,District 8,1,1.0,0.878631370850439,True
Florida,District 9,0,0.0,0.9782805025921347,True
Georgia,District 1,1,1.0,0.9961994219823262,True
Georgia,District 10,1,1.0,0.9933287382312428,True
Georgia,District 11,1,1.0,0.993327382412153,True
Georgia,District 12,1,1.0,0.909303187563036,True
Georgia,District 13,0,0.0,0.9980051667002806,True
Georgia,District 14,1,1.0,0.9943056629104551,True
Georgia,District 2,0,0.0,0.990190809065235,True
Georgia,District 3,1,1.0,0.8739913900580627,True
Georgia,District 4,0,0.0,0.9971061658287245,True
Georgia,District 5,0,0.0,1.0,True
Georgia,District 6,0,1.0,0.9973193617197682,False
Georgia,District 7,1,1.0,0.8188353536932522,True
Georgia,District 8,1,1.0,1.0,True
Georgia,District 9,1,1.0,0.9963540524509898,True
Hawaii,District 1,0,0.0,0.9789490630017557,True
Hawaii,District 2,0,0.0,0.9980045092732873,True
Idaho,District 1,1,0.0,0.6924277288915623,False
Idaho,District 2,1,1.0,0.996112491308176,True
Illinois,District 1,0,0.0,0.9909700857900072,True
Illinois,District 10,0,0.0,0.9156224880319076,True
Illinois,District 11,0,0.0,0.699694263938034,True
Illinois,District 12,1,1.0,0.9239066869066082,True
Illinois,District 13,1,1.0,0.9068973979739902,True
Illinois,District 14,0,1.0,0.9070774303706758,False
Illinois,District 15,1,1.0,0.9770753994089286,True
