district,is_incumbent,name,party,percent,state,votes,won,year,count_victories,unemployement_rate,is_presidential_year,president_can_be_re_elected,president_party,president_overall_avg_job_approval,last_D_house_seats,last_R_house_seats,last_house_majority,fundraising
District 1,0.0,Ratliff Boon,D,42.1,Indiana,4281,1,1824,0,0.0,0.0,1.0,0,0.5256666666666666,200.17985611510792,182.50359712230215,R,552917.8375
District 1,1.0,Ratliff Boon,D,42.8,Indiana,5202,1,1826,1,0.0,0.0,1.0,0,0.5256666666666666,200.17985611510792,182.50359712230218,R,552917.8374999999
District 1,1.0,Ratliff Boon,D,52.2,Indiana,7272,1,1828,2,0.0,0.0,1.0,0,0.5256666666666665,200.17985611510792,182.50359712230215,R,552917.8374999999
District 1,0.0,John Law,D,49.1,Indiana,10868,0,1830,0,0.0,0.0,1.0,0,0.5256666666666665,200.17985611510792,182.50359712230215,R,552917.8375
District 1,1.0,Ratliff Boon,D,50.9,Indiana,11280,1,1830,3,0.0,0.0,1.0,0,0.5256666666666665,200.17985611510792,182.50359712230215,R,552917.8374999999
District 1,1.0,Ratliff Boon,D,50.6,Indiana,3973,1,1832,4,0.0,0.0,1.0,0,0.5256666666666664,200.17985611510792,182.50359712230215,R,552917.8375
District 1,1.0,Ratliff Boon,D,51.4,Indiana,4028,1,1834,5,0.0,0.0,1.0,0,0.5256666666666664,200.17985611510792,182.50359712230215,R,552917.8375
District 1,1.0,Ratliff Boon,D,50.4,Indiana,4534,1,1836,6,0.0,0.0,1.0,0,0.5256666666666664,200.17985611510792,182.50359712230215,R,552917.8375
District 1,0.0,Robert Dale Owen,D,46.5,Indiana,5229,1,1838,0,0.0,0.0,1.0,0,0.5256666666666664,200.17985611510792,182.50359712230218,R,552917.8374999999
District 1,0.0,Thomas Seymour,D,42.9,Indiana,3867,1,1840,0,0.0,0.0,1.0,0,0.5256666666666663,200.17985611510792,182.50359712230215,R,552917.8374999999
District 1,0.0,Robert Dale Owen,D,52.2,Indiana,6679,1,1842,1,0.0,0.0,1.0,0,0.5256666666666663,200.17985611510792,182.50359712230215,R,552917.8374999999
District 1,1.0,Robert Dale Owen,D,53.7,Indiana,7336,1,1844,2,0.0,0.0,1.0,0,0.5256666666666663,200.17985611510792,182.50359712230215,R,552917.8375
District 1,1.0,Robert Dale Owen,D,48.7,Indiana,7054,1,1846,3,0.0,0.0,1.0,0,0.5256666666666664,200.17985611510792,182.50359712230215,R,552917.8375
District 1,0.0,Nathaniel Albertson,D,52.1,Indiana,8271,1,1848,0,0.0,0.0,1.0,0,0.5256666666666664,200.17985611510792,182.50359712230215,R,552917.8375000001
District 1,0.0,James Lockhart,D,51.0,Indiana,8173,1,1850,0,0.0,0.0,1.0,0,0.5256666666666663,200.17985611510792,182.50359712230215,R,552917.8375000001
District 1,0.0,Smith Miller,D,59.0,Indiana,9007,1,1852,0,0.0,0.0,1.0,0,0.5256666666666663,200.17985611510792,182.50359712230218,R,552917.8375000001
District 1,1.0,Smith Miller,D,52.2,Indiana,9864,1,1854,1,0.0,0.0,1.0,0,0.5256666666666662,200.17985611510792,182.50359712230215,R,552917.8375000001
District 1,0.0,James Lockhart,D,61.5,Indiana,12747,1,1856,1,0.0,0.0,1.0,0,0.5256666666666662,200.17985611510792,182.50359712230218,R,552917.8375000001
District 1,0.0,James C. Veatch,R,38.5,Indiana,7977,0,1856,0,0.0,0.0,1.0,0,0.5256666666666661,200.17985611510792,182.50359712230215,R,552917.8375000001
District 1,0.0,William E. Niblack,D,53.6,Indiana,10329,1,1858,0,0.0,0.0,1.0,D,0.525666666666666,133.0,90.0,D,552917.8375000001
District 1,0.0,Alvin P. Hovey,R,46.4,Indiana,8946,0,1858,0,0.0,0.0,1.0,D,0.525666666666666,133.0,90.0,D,552917.8375000001
District 1,0.0,John Law,D,55.7,Indiana,13476,1,1860,0,0.0,1.0,1.0,R,0.525666666666666,98.0,116.0,R,552917.8375000001
District 1,0.0,Lemuel Debruler,R,44.3,Indiana,10731,0,1860,0,0.0,1.0,1.0,R,0.525666666666666,98.0,116.0,R,552917.8375000001
District 1,1.0,John Law,D,53.1,Indiana,11963,1,1862,1,0.0,0.0,1.0,R,0.525666666666666,45.0,108.0,R,552917.8375000001
District 1,0.0,Donald C. McRuer,R,58.9,California,20370,1,1864,0,0.0,1.0,0.0,R,0.5297887323943659,72.0,87.0,R,601890.7150000001
District 1,0.0,William E. Niblack,D,53.9,Indiana,14718,1,1864,1,0.0,1.0,0.0,R,0.5256666666666658,72.0,87.0,R,552917.8375000001
District 3,0.0,John Bidwell,R,56.1,California,18255,1,1864,0,0.0,1.0,0.0,R,0.46677777777777785,72.0,87.0,R,1179065.4766666666
District 3,0.0,Jack Temple,D,43.9,California,14273,0,1864,0,0.0,1.0,0.0,R,0.46677777777777774,72.0,87.0,R,1179065.4766666666
District 2,0.0,William Higby,R,61.6,California,23414,1,1864,0,0.0,1.0,0.0,R,0.5282318840579707,72.0,87.0,R,622395.875
District 2,0.0,James W. Coffroth,D,38.4,California,14581,0,1864,0,0.0,1.0,0.0,R,0.5282318840579705,72.0,87.0,R,622395.875
District 1,0.0,Joseph B. Crocker,D,41.1,California,14191,0,1864,0,0.0,1.0,0.0,R,0.5297887323943657,72.0,87.0,R,601890.7150000001
District 3,0.0,James A. Johnson,D,50.6,California,14767,1,1866,0,0.0,0.0,0.0,R,0.4667777777777777,38.0,137.0,R,1179065.4766666666
District 3,0.0,Chancellor Hartson,R,49.4,California,14394,0,1866,0,0.0,0.0,0.0,R,0.46677777777777757,38.0,137.0,R,1179065.4766666666
District 2,0.0,James W. Coffroth,D,48.0,California,14786,0,1866,0,0.0,0.0,0.0,R,0.5282318840579706,38.0,137.0,R,622395.875
District 2,1.0,William Higby ,R,52.0,California,16053,1,1866,0,0.0,0.0,0.0,R,0.5282318840579705,38.0,137.0,R,622395.875
District 1,1.0,William E. Niblack,D,52.0,Indiana,17255,1,1866,2,0.0,0.0,0.0,R,0.5256666666666658,38.0,137.0,R,552917.8375000001
District 1,0.0,Lemuel Debruler,R,48.0,Indiana,15905,0,1866,0,0.0,0.0,0.0,R,0.5256666666666658,38.0,137.0,R,552917.8375000001
District 1,0.0,Samuel Beach Axtell,D,57.3,California,18793,1,1866,0,0.0,0.0,0.0,R,0.5297887323943657,38.0,137.0,R,601890.7150000001
District 1,0.0,Timothy Guy Phelps,R,42.7,California,13989,0,1866,0,0.0,0.0,0.0,R,0.5297887323943657,38.0,137.0,R,601890.715
District 2,0.0,Aaron Augustus Sargent,R,54.7,California,18264,1,1868,0,0.0,1.0,1.0,R,0.5282318840579705,47.0,175.0,R,622395.8750000001
District 1,1.0,Samuel Beach Axtell ,D,54.1,California,23632,1,1868,0,0.0,1.0,1.0,R,0.5297887323943657,47.0,175.0,R,601890.715
District 2,1.0,James W. Coffroth,D,45.3,California,15124,0,1868,0,0.0,1.0,1.0,R,0.5282318840579705,47.0,175.0,R,622395.8750000001
District 1,1.0,William E. Niblack,D,52.1,Indiana,18116,1,1868,3,0.0,1.0,1.0,R,0.5256666666666658,47.0,175.0,R,552917.8375000001
District 1,0.0,James Veatch,R,47.9,Indiana,16631,0,1868,0,0.0,1.0,1.0,R,0.5256666666666658,47.0,175.0,R,552917.8375
District 1,0.0,Frank M. Pixley,R,45.9,California,20081,0,1868,0,0.0,1.0,1.0,R,0.5297887323943657,47.0,175.0,R,601890.715
District 3,1.0,James A. Johnson ,D,50.4,California,15792,1,1868,0,0.0,1.0,1.0,R,0.4667777777777777,47.0,175.0,R,1179065.4766666666
District 3,0.0,Chancellor Hartson,R,49.6,California,15528,0,1868,0,0.0,1.0,1.0,R,0.4667777777777776,47.0,175.0,R,1179065.4766666668
District 3,0.0,John M. Coghlan,R,51.7,California,18503,1,1870,0,0.0,0.0,1.0,R,0.4667777777777777,67.0,171.0,R,1179065.4766666666
District 10,0.0,James Westervelt,R,42.9,New York,10685,0,1870,0,0.0,0.0,1.0,R,0.4821,67.0,171.0,R,866388.895
District 9,0.0,Morris Ellinger,R,15.4,New York,3707,0,1870,0,0.0,0.0,1.0,R,0.4901363636363636,67.0,171.0,R,778851.5985714287
District 15,0.0,J. Thomas Davis,R,39.3,New York,11659,0,1870,0,0.0,0.0,1.0,R,0.48243478260869566,67.0,171.0,R,501554.79125
District 7,0.0,"Smith Ely, Jr.",D,74.2,New York,12464,1,1870,0,0.0,0.0,1.0,R,0.489875,67.0,171.0,R,379818.01714285713
District 14,0.0,Minard Harder,R,44.9,New York,14726,0,1870,0,0.0,0.0,1.0,R,0.48243478260869566,67.0,171.0,R,1605510.625
District 14,0.0,Eli Perry,D,54.1,New York,17716,1,1870,0,0.0,0.0,1.0,R,0.48243478260869566,67.0,171.0,R,1605510.625
District 9,0.0,Fernando Wood,D,64.8,New York,15620,1,1870,0,0.0,0.0,1.0,R,0.4901363636363636,67.0,171.0,R,778851.5985714287
District 10,0.0,Clarkson Nott Potter,D,57.1,New York,14249,1,1870,0,0.0,0.0,1.0,R,0.4820999999999999,67.0,171.0,R,866388.8949999999
District 2,1.0,Aaron Augustus Sargent ,R,54.0,California,18065,1,1870,0,0.0,0.0,1.0,R,0.5282318840579705,67.0,171.0,R,622395.875
District 5,0.0,William R. Roberts,D,85.6,New York,14566,1,1870,0,0.0,0.0,1.0,R,0.48565,67.0,171.0,R,613153.54625
District 1,0.0,Hy C. Goodling,R,46.6,Indiana,15327,0,1870,0,0.0,0.0,1.0,R,0.5256666666666658,67.0,171.0,R,552917.8375
District 15,0.0,Joseph M. Warren,D,59.9,New York,17793,1,1870,0,0.0,0.0,1.0,R,0.48243478260869566,67.0,171.0,R,501554.79125
District 3,0.0,George Pearce,D,48.3,California,17309,0,1870,0,0.0,0.0,1.0,R,0.46677777777777774,67.0,171.0,R,1179065.4766666666
District 1,0.0,Sherman Otis Houghton,R,51.6,California,25971,1,1870,0,0.0,0.0,1.0,R,0.5297887323943656,67.0,171.0,R,601890.715
District 1,0.0,Lawrence Archer,D,48.4,California,24374,0,1870,0,0.0,0.0,1.0,R,0.5297887323943656,67.0,171.0,R,601890.715
District 2,0.0,James W. Coffroth,D,46.0,California,15382,0,1870,0,0.0,0.0,1.0,R,0.5282318840579705,67.0,171.0,R,622395.8750000001
District 1,1.0,William E. Niblack,D,53.4,Indiana,17577,1,1870,4,0.0,0.0,1.0,R,0.5256666666666658,67.0,171.0,R,552917.8375
District 8,0.0,George Wilkes,R,29.5,New York,7149,0,1870,0,0.0,0.0,1.0,R,0.4907619047619048,67.0,171.0,R,908014.7385714286
District 8,0.0,James Brooks,D,53.0,New York,12845,1,1870,0,0.0,0.0,1.0,R,0.49076190476190473,67.0,171.0,R,908014.7385714286
District 5,0.0,James A. Briggs,R,13.5,New York,2287,0,1870,0,0.0,0.0,1.0,R,0.48565,67.0,171.0,R,613153.5462500001
District 7,0.0,David Hunter McAlpin,R,20.3,New York,3403,0,1870,0,0.0,0.0,1.0,R,0.48987500000000006,67.0,171.0,R,379818.01714285713
District 2,0.0,Horace F. Page,R,51.9,California,13803,1,1872,0,0.0,1.0,0.0,R,0.5282318840579704,104.0,139.0,R,622395.8750000001
District 3,1.0,John M. Coghlan ,R,48.3,California,13105,0,1872,0,0.0,1.0,0.0,R,0.4667777777777777,104.0,139.0,R,1179065.4766666666
District 1,1.0,William E. Niblack,D,50.2,Indiana,19259,1,1872,5,0.0,1.0,0.0,R,0.5256666666666658,104.0,139.0,R,552917.8375
District 2,0.0,Pasz Coggins,D,48.1,California,12816,0,1872,0,0.0,1.0,0.0,R,0.5282318840579704,104.0,139.0,R,622395.8750000001
District 1,0.0,Charles Clayton,R,52.3,California,11938,1,1872,0,0.0,1.0,0.0,R,0.5297887323943656,104.0,139.0,R,601890.715
District 4,1.0,Sherman Otis Houghton ,R,53.5,California,10391,1,1872,0,0.0,1.0,0.0,R,0.5300714285714281,104.0,139.0,R,1056491.2249999999
District 4,0.0,Edward J. Kewen,D,46.5,California,9012,0,1872,0,0.0,1.0,0.0,R,0.5300714285714281,104.0,139.0,R,1056491.225
District 3,0.0,John K. Luttrell,D,51.7,California,14032,1,1872,0,0.0,1.0,0.0,R,0.4667777777777776,104.0,139.0,R,1179065.4766666668
District 1,0.0,Heilman,R,49.8,Indiana,19127,0,1872,0,0.0,1.0,0.0,R,0.5256666666666658,104.0,139.0,R,552917.8375
District 1,0.0,William Adam Piper,D,47.7,California,10883,0,1872,0,0.0,1.0,0.0,R,0.5297887323943655,104.0,139.0,R,601890.7150000001
District 1,1.0,William Adam Piper,D,49.1,California,12417,1,1874,0,0.0,0.0,0.0,R,0.5297887323943656,89.0,203.0,R,601890.7150000001
District 3,1.0,John K. Luttrell ,D,55.1,California,18468,1,1874,0,0.0,0.0,0.0,R,0.4667777777777777,89.0,203.0,R,1179065.4766666668
