is_incumbent,party,percent,votes,won,year,first_time_elected,count_victories,unemployement_rate,is_presidential_year,president_can_be_re_elected,president_overall_avg_job_approval,last_D_house_seats,last_R_house_seats,fundraising,district,president_party,last_house_majority,name,state
0.0,D,42.1,4281,1,1824,1824.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Ratliff Boon,Indiana
1.0,D,42.8,5202,1,1826,1824.0,1,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Ratliff Boon,Indiana
1.0,D,52.2,7272,1,1828,1824.0,2,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Ratliff Boon,Indiana
0.0,D,49.1,10868,0,1830,1860.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,John Law,Indiana
1.0,D,50.9,11280,1,1830,1824.0,3,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Ratliff Boon,Indiana
1.0,D,50.6,3973,1,1832,1824.0,4,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Ratliff Boon,Indiana
1.0,D,51.4,4028,1,1834,1824.0,5,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Ratliff Boon,Indiana
1.0,D,50.4,4534,1,1836,1824.0,6,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Ratliff Boon,Indiana
0.0,D,46.5,5229,1,1838,1838.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Robert Dale Owen,Indiana
0.0,D,42.9,3867,1,1840,1840.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Thomas Seymour,Indiana
0.0,D,52.2,6679,1,1842,1838.0,1,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Robert Dale Owen,Indiana
1.0,D,53.7,7336,1,1844,1838.0,2,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Robert Dale Owen,Indiana
1.0,D,48.7,7054,1,1846,1838.0,3,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Robert Dale Owen,Indiana
0.0,D,52.1,8271,1,1848,1848.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Nathaniel Albertson,Indiana
0.0,D,51.0,8173,1,1850,1850.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,James Lockhart,Indiana
0.0,D,59.0,9007,1,1852,1852.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Smith Miller,Indiana
1.0,D,52.2,9864,1,1854,1852.0,1,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,Smith Miller,Indiana
0.0,D,61.5,12747,1,1856,1850.0,1,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,James Lockhart,Indiana
0.0,R,38.5,7977,0,1856,0.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,200.17985611510792,182.50359712230215,567730.6652794854,District 1,0,D,James C. Veatch,Indiana
0.0,D,53.6,10329,1,1858,1864.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,133.0,90.0,567730.6652794854,District 1,D,D,William E. Niblack,Indiana
0.0,R,46.4,8946,0,1858,1886.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,133.0,90.0,567730.6652794854,District 1,D,D,Alvin P. Hovey,Indiana
0.0,D,55.7,13476,1,1860,1860.0,0,5.7901960784313715,1.0,1.0,0.4383202058920468,98.0,116.0,567730.6652794854,District 1,R,R,John Law,Indiana
0.0,R,44.3,10731,0,1860,0.0,0,5.7901960784313715,1.0,1.0,0.4383202058920468,98.0,116.0,567730.6652794854,District 1,R,R,Lemuel Debruler,Indiana
1.0,D,53.1,11963,1,1862,1860.0,1,5.7901960784313715,0.0,1.0,0.4383202058920468,45.0,108.0,567730.6652794854,District 1,R,R,John Law,Indiana
0.0,R,58.9,20370,1,1864,1864.0,0,6.049295774647884,1.0,0.0,0.4383202058920468,72.0,87.0,567730.6652794854,District 1,R,R,Donald C. McRuer,California
0.0,D,53.9,14718,1,1864,1864.0,1,5.7901960784313715,1.0,0.0,0.4383202058920468,72.0,87.0,567730.6652794854,District 1,R,R,William E. Niblack,Indiana
0.0,R,56.1,18255,1,1864,1864.0,0,7.611111111111111,1.0,0.0,0.4383202058920468,72.0,87.0,567730.6652794854,District 3,R,R,John Bidwell,California
0.0,D,43.9,14273,0,1864,0.0,0,7.611111111111111,1.0,0.0,0.4383202058920468,72.0,87.0,567730.6652794854,District 3,R,R,Jack Temple,California
0.0,R,61.6,23414,1,1864,1864.0,0,5.889855072463766,1.0,0.0,0.4383202058920468,72.0,87.0,567730.6652794854,District 2,R,R,William Higby,California
0.0,D,38.4,14581,0,1864,0.0,0,5.889855072463766,1.0,0.0,0.4383202058920468,72.0,87.0,567730.6652794854,District 2,R,R,James W. Coffroth,California
0.0,D,41.1,14191,0,1864,0.0,0,6.049295774647884,1.0,0.0,0.4383202058920468,72.0,87.0,567730.6652794854,District 1,R,R,Joseph B. Crocker,California
0.0,D,50.6,14767,1,1866,1866.0,0,7.611111111111111,0.0,0.0,0.4383202058920468,38.0,137.0,567730.6652794854,District 3,R,R,James A. Johnson,California
0.0,R,49.4,14394,0,1866,0.0,0,7.611111111111111,0.0,0.0,0.4383202058920468,38.0,137.0,567730.6652794854,District 3,R,R,Chancellor Hartson,California
0.0,D,48.0,14786,0,1866,0.0,0,5.889855072463766,0.0,0.0,0.4383202058920468,38.0,137.0,567730.6652794854,District 2,R,R,James W. Coffroth,California
1.0,R,52.0,16053,1,1866,1866.0,0,5.889855072463766,0.0,0.0,0.4383202058920468,38.0,137.0,567730.6652794854,District 2,R,R,William Higby ,California
1.0,D,52.0,17255,1,1866,1864.0,2,5.7901960784313715,0.0,0.0,0.4383202058920468,38.0,137.0,567730.6652794854,District 1,R,R,William E. Niblack,Indiana
0.0,R,48.0,15905,0,1866,0.0,0,5.7901960784313715,0.0,0.0,0.4383202058920468,38.0,137.0,567730.6652794854,District 1,R,R,Lemuel Debruler,Indiana
0.0,D,57.3,18793,1,1866,1866.0,0,6.049295774647884,0.0,0.0,0.4383202058920468,38.0,137.0,567730.6652794854,District 1,R,R,Samuel Beach Axtell,California
0.0,R,42.7,13989,0,1866,0.0,0,6.049295774647884,0.0,0.0,0.4383202058920468,38.0,137.0,567730.6652794854,District 1,R,R,Timothy Guy Phelps,California
0.0,R,54.7,18264,1,1868,1868.0,0,5.889855072463766,1.0,1.0,0.4383202058920468,47.0,175.0,567730.6652794854,District 2,R,R,Aaron Augustus Sargent,California
1.0,D,54.1,23632,1,1868,1868.0,0,6.049295774647884,1.0,1.0,0.4383202058920468,47.0,175.0,567730.6652794854,District 1,R,R,Samuel Beach Axtell ,California
1.0,D,45.3,15124,0,1868,0.0,0,5.889855072463766,1.0,1.0,0.4383202058920468,47.0,175.0,567730.6652794854,District 2,R,R,James W. Coffroth,California
1.0,D,52.1,18116,1,1868,1864.0,3,5.7901960784313715,1.0,1.0,0.4383202058920468,47.0,175.0,567730.6652794854,District 1,R,R,William E. Niblack,Indiana
0.0,R,47.9,16631,0,1868,0.0,0,5.7901960784313715,1.0,1.0,0.4383202058920468,47.0,175.0,567730.6652794854,District 1,R,R,James Veatch,Indiana
0.0,R,45.9,20081,0,1868,0.0,0,6.049295774647884,1.0,1.0,0.4383202058920468,47.0,175.0,567730.6652794854,District 1,R,R,Frank M. Pixley,California
1.0,D,50.4,15792,1,1868,1868.0,0,7.611111111111111,1.0,1.0,0.4383202058920468,47.0,175.0,567730.6652794854,District 3,R,R,James A. Johnson ,California
0.0,R,49.6,15528,0,1868,0.0,0,7.611111111111111,1.0,1.0,0.4383202058920468,47.0,175.0,567730.6652794854,District 3,R,R,Chancellor Hartson,California
0.0,R,51.7,18503,1,1870,1870.0,0,7.611111111111111,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 3,R,R,John M. Coghlan,California
0.0,R,42.9,10685,0,1870,0.0,0,5.145,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 10,R,R,James Westervelt,New York
0.0,R,15.4,3707,0,1870,0.0,0,6.5,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 9,R,R,Morris Ellinger,New York
0.0,R,39.3,11659,0,1870,0.0,0,7.14782608695652,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 15,R,R,J. Thomas Davis,New York
0.0,D,74.2,12464,1,1870,1870.0,0,6.108333333333333,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 7,R,R,"Smith Ely, Jr.",New York
0.0,R,44.9,14726,0,1870,0.0,0,5.839130434782609,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 14,R,R,Minard Harder,New York
0.0,D,54.1,17716,1,1870,1870.0,0,5.839130434782609,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 14,R,R,Eli Perry,New York
0.0,D,64.8,15620,1,1870,1870.0,0,6.5,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 9,R,R,Fernando Wood,New York
0.0,D,57.1,14249,1,1870,1870.0,0,5.145,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 10,R,R,Clarkson Nott Potter,New York
1.0,R,54.0,18065,1,1870,1870.0,0,5.889855072463766,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 2,R,R,Aaron Augustus Sargent ,California
0.0,D,85.6,14566,1,1870,1870.0,0,6.625,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 5,R,R,William R. Roberts,New York
0.0,R,46.6,15327,0,1870,0.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 1,R,R,Hy C. Goodling,Indiana
0.0,D,59.9,17793,1,1870,1870.0,0,7.14782608695652,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 15,R,R,Joseph M. Warren,New York
0.0,D,48.3,17309,0,1870,0.0,0,7.611111111111111,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 3,R,R,George Pearce,California
0.0,R,51.6,25971,1,1870,1870.0,0,6.049295774647884,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 1,R,R,Sherman Otis Houghton,California
0.0,D,48.4,24374,0,1870,0.0,0,6.049295774647884,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 1,R,R,Lawrence Archer,California
0.0,D,46.0,15382,0,1870,0.0,0,5.889855072463766,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 2,R,R,James W. Coffroth,California
1.0,D,53.4,17577,1,1870,1864.0,4,5.7901960784313715,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 1,R,R,William E. Niblack,Indiana
0.0,R,29.5,7149,0,1870,0.0,0,6.490476190476191,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 8,R,R,George Wilkes,New York
0.0,D,53.0,12845,1,1870,1870.0,0,6.490476190476191,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 8,R,R,James Brooks,New York
0.0,R,13.5,2287,0,1870,0.0,0,6.625,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 5,R,R,James A. Briggs,New York
0.0,R,20.3,3403,0,1870,0.0,0,6.108333333333333,0.0,1.0,0.4383202058920468,67.0,171.0,567730.6652794854,District 7,R,R,David Hunter McAlpin,New York
0.0,R,51.9,13803,1,1872,1872.0,0,5.889855072463766,1.0,0.0,0.4383202058920468,104.0,139.0,567730.6652794854,District 2,R,R,Horace F. Page,California
1.0,R,48.3,13105,0,1872,0.0,0,7.611111111111111,1.0,0.0,0.4383202058920468,104.0,139.0,567730.6652794854,District 3,R,R,John M. Coghlan ,California
1.0,D,50.2,19259,1,1872,1864.0,5,5.7901960784313715,1.0,0.0,0.4383202058920468,104.0,139.0,567730.6652794854,District 1,R,R,William E. Niblack,Indiana
0.0,D,48.1,12816,0,1872,0.0,0,5.889855072463766,1.0,0.0,0.4383202058920468,104.0,139.0,567730.6652794854,District 2,R,R,Pasz Coggins,California
0.0,R,52.3,11938,1,1872,1872.0,0,6.049295774647884,1.0,0.0,0.4383202058920468,104.0,139.0,567730.6652794854,District 1,R,R,Charles Clayton,California
1.0,R,53.5,10391,1,1872,1872.0,0,5.877142857142855,1.0,0.0,0.4383202058920468,104.0,139.0,567730.6652794854,District 4,R,R,Sherman Otis Houghton ,California
0.0,D,46.5,9012,0,1872,0.0,0,5.877142857142855,1.0,0.0,0.4383202058920468,104.0,139.0,567730.6652794854,District 4,R,R,Edward J. Kewen,California
0.0,D,51.7,14032,1,1872,1872.0,0,7.611111111111111,1.0,0.0,0.4383202058920468,104.0,139.0,567730.6652794854,District 3,R,R,John K. Luttrell,California
0.0,R,49.8,19127,0,1872,0.0,0,5.7901960784313715,1.0,0.0,0.4383202058920468,104.0,139.0,567730.6652794854,District 1,R,R,Heilman,Indiana
0.0,D,47.7,10883,0,1872,1874.0,0,6.049295774647884,1.0,0.0,0.4383202058920468,104.0,139.0,567730.6652794854,District 1,R,R,William Adam Piper,California
1.0,D,49.1,12417,1,1874,1874.0,0,6.049295774647884,0.0,0.0,0.4383202058920468,89.0,203.0,567730.6652794854,District 1,R,R,William Adam Piper,California
1.0,D,55.1,18468,1,1874,1874.0,0,7.611111111111111,0.0,0.0,0.4383202058920468,89.0,203.0,567730.6652794854,District 3,R,R,John K. Luttrell ,California
0.0,R,24.7,8284,0,1874,0.0,0,7.611111111111111,0.0,0.0,0.4383202058920468,89.0,203.0,567730.6652794854,District 3,R,R,C. B. Denio,California
1.0,R,43.4,13624,1,1874,1874.0,0,5.889855072463766,0.0,0.0,0.4383202058920468,89.0,203.0,567730.6652794854,District 2,R,R,Horace F. Page ,California
1.0,R,49.3,12527,0,1874,0.0,0,5.7901960784313715,0.0,0.0,0.4383202058920468,89.0,203.0,567730.6652794854,District 1,R,R,Heilman,Indiana
0.0,D,38.8,12154,0,1874,0.0,0,5.889855072463766,0.0,0.0,0.4383202058920468,89.0,203.0,567730.6652794854,District 2,R,R,Hy Larkin,California
0.0,R,26.8,6791,0,1874,0.0,0,6.049295774647884,0.0,0.0,0.4383202058920468,89.0,203.0,567730.6652794854,District 1,R,R,Ira P. Rankin,California
0.0,D,48.8,15649,1,1874,1874.0,0,5.877142857142855,0.0,0.0,0.4383202058920468,89.0,203.0,567730.6652794854,District 4,R,R,Peter D. Wigginton,California
1.0,R,34.6,11090,0,1874,1872.0,1,5.877142857142855,0.0,0.0,0.4383202058920468,89.0,203.0,567730.6652794854,District 4,R,R,Sherman Otis Houghton ,California
0.0,D,50.7,12864,1,1874,1874.0,0,5.7901960784313715,0.0,0.0,0.4383202058920468,89.0,203.0,567730.6652794854,District 1,R,R,Benoni S. Fuller,Indiana
1.0,D,50.6,14727,1,1876,1874.0,1,5.7901960784313715,1.0,1.0,0.4383202058920468,183.0,106.0,567730.6652794854,District 1,R,D,Benoni S. Fuller,Indiana
1.0,D,51.1,19846,1,1876,1874.0,1,7.611111111111111,1.0,1.0,0.4383202058920468,183.0,106.0,567730.6652794854,District 3,R,D,John K. Luttrell ,California
0.0,R,45.2,13158,0,1876,0.0,0,5.7901960784313715,1.0,1.0,0.4383202058920468,183.0,106.0,567730.6652794854,District 1,R,D,C. A. Debruler,Indiana
0.0,R,50.0,19104,1,1876,1876.0,0,5.877142857142855,1.0,1.0,0.4383202058920468,183.0,106.0,567730.6652794854,District 4,R,D,Romualdo Pacheco,California
1.0,D,50.0,19103,0,1876,1876.0,0,5.877142857142855,1.0,1.0,0.4383202058920468,183.0,106.0,567730.6652794854,District 4,R,D,Peter D. Wigginton ,California
0.0,R,48.9,18990,0,1876,1884.0,0,7.611111111111111,1.0,1.0,0.4383202058920468,183.0,106.0,567730.6652794854,District 3,R,D,Joseph McKenna,California
0.0,R,53.3,22134,1,1876,1876.0,0,6.049295774647884,1.0,1.0,0.4383202058920468,183.0,106.0,567730.6652794854,District 1,R,D,Horace Davis,California
1.0,R,56.7,20815,1,1876,1874.0,1,5.889855072463766,1.0,1.0,0.4383202058920468,183.0,106.0,567730.6652794854,District 2,R,D,Horace F. Page ,California
0.0,D,43.3,15916,0,1876,0.0,0,5.889855072463766,1.0,1.0,0.4383202058920468,183.0,106.0,567730.6652794854,District 2,R,D,G. J. Carpenter,California
1.0,D,46.7,19363,0,1876,0.0,0,6.049295774647884,1.0,1.0,0.4383202058920468,183.0,106.0,567730.6652794854,District 1,R,D,William Adam Piper ,California
0.0,D,7.1,2940,0,1878,0.0,0,6.049295774647884,0.0,1.0,0.4383202058920468,157.0,136.0,567730.6652794854,District 1,R,D,Charles R. Summer,California
1.0,R,49.6,19800,0,1878,1884.0,0,7.611111111111111,0.0,1.0,0.4383202058920468,157.0,136.0,567730.6652794854,District 3,R,D,Joseph McKenna,California
0.0,D,50.2,20019,1,1878,1878.0,0,7.611111111111111,0.0,1.0,0.4383202058920468,157.0,136.0,567730.6652794854,District 3,R,D,Campbell Polson Berry,California
1.0,R,48.4,20074,1,1878,1878.0,0,6.049295774647884,0.0,1.0,0.4383202058920468,157.0,136.0,567730.6652794854,District 1,R,D,Horace Davis ,California
1.0,R,40.5,15391,1,1878,1876.0,1,5.877142857142855,0.0,1.0,0.4383202058920468,157.0,136.0,567730.6652794854,District 4,R,D,Romualdo Pacheco,California
0.0,R,48.7,13928,1,1878,1878.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,157.0,136.0,567730.6652794854,District 1,R,D,William Heilman,Indiana
0.0,D,48.7,13928,0,1878,1878.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,157.0,136.0,567730.6652794854,District 1,R,D,Thomas E. Garvin,Indiana
0.0,D,31.8,12109,0,1878,0.0,0,5.877142857142855,0.0,1.0,0.4383202058920468,157.0,136.0,567730.6652794854,District 4,R,D,Wallace A. Leach,California
1.0,R,51.9,19386,1,1878,1874.0,2,5.889855072463766,0.0,1.0,0.4383202058920468,157.0,136.0,567730.6652794854,District 2,R,D,Horace F. Page ,California
0.0,D,34.4,12847,0,1878,0.0,0,5.889855072463766,0.0,1.0,0.4383202058920468,157.0,136.0,567730.6652794854,District 2,R,D,Thomas J. Clunie,California
0.0,R,48.2,20494,0,1880,0.0,0,7.611111111111111,1.0,1.0,0.4383202058920468,148.0,132.0,567730.6652794854,District 3,R,D,George A. Knight,California
1.0,R,49.4,17719,1,1880,1878.0,1,5.7901960784313715,1.0,1.0,0.4383202058920468,148.0,132.0,567730.6652794854,District 1,R,D,William Heilman,Indiana
1.0,R,47.3,19496,0,1880,1878.0,1,6.049295774647884,1.0,1.0,0.4383202058920468,148.0,132.0,567730.6652794854,District 1,R,D,Horace Davis ,California
0.0,D,45.3,17577,0,1880,0.0,0,5.877142857142855,1.0,1.0,0.4383202058920468,148.0,132.0,567730.6652794854,District 4,R,D,Wallace A. Leach,California
0.0,D,51.0,21005,1,1880,1880.0,0,6.049295774647884,1.0,1.0,0.4383202058920468,148.0,132.0,567730.6652794854,District 1,R,D,William Rosecrans,California
0.0,D,48.6,17420,0,1880,1882.0,0,5.7901960784313715,1.0,1.0,0.4383202058920468,148.0,132.0,567730.6652794854,District 1,R,D,John Kleiner,Indiana
1.0,R,45.8,17768,1,1880,1880.0,0,5.877142857142855,1.0,1.0,0.4383202058920468,148.0,132.0,567730.6652794854,District 4,R,D,Romualdo Pacheco ,California
1.0,R,53.6,22038,1,1880,1874.0,3,5.889855072463766,1.0,1.0,0.4383202058920468,148.0,132.0,567730.6652794854,District 2,R,D,Horace F. Page ,California
0.0,D,45.9,18859,0,1880,0.0,0,5.889855072463766,1.0,1.0,0.4383202058920468,148.0,132.0,567730.6652794854,District 2,R,D,John R. Glasscock,California
1.0,D,51.1,21743,1,1880,1880.0,0,7.611111111111111,1.0,1.0,0.4383202058920468,148.0,132.0,567730.6652794854,District 3,R,D,Campbell Polson Berry ,California
0.0,D,50.5,20229,1,1882,1882.0,0,5.889855072463766,0.0,1.0,0.4383202058920468,131.0,151.0,567730.6652794854,District 2,R,R,James Budd,California
1.0,R,48.1,19246,0,1882,1874.0,4,5.889855072463766,0.0,1.0,0.4383202058920468,131.0,151.0,567730.6652794854,District 2,R,R,Horace F. Page ,California
0.0,D,54.4,23105,1,1882,1882.0,0,5.877142857142855,0.0,1.0,0.4383202058920468,131.0,151.0,567730.6652794854,District 4,R,R,Pleasant B. Tully,California
0.0,D,51.3,21807,1,1882,1882.0,0,7.611111111111111,0.0,1.0,0.4383202058920468,131.0,151.0,567730.6652794854,District 3,R,R,Barclay Henley,California
0.0,R,43.3,18387,0,1882,0.0,0,5.877142857142855,0.0,1.0,0.4383202058920468,131.0,151.0,567730.6652794854,District 4,R,R,George Lemuel Woods,California
0.0,R,45.8,19473,0,1882,0.0,0,7.611111111111111,0.0,1.0,0.4383202058920468,131.0,151.0,567730.6652794854,District 3,R,R,John J. DeHaven,California
1.0,R,46.9,16399,0,1882,1878.0,2,5.7901960784313715,0.0,1.0,0.4383202058920468,131.0,151.0,567730.6652794854,District 1,R,R,William Heilman,Indiana
1.0,D,59.5,22733,1,1882,1882.0,0,6.049295774647884,0.0,1.0,0.4383202058920468,131.0,151.0,567730.6652794854,District 1,R,R,William Rosecrans ,California
0.0,R,38.8,14847,0,1882,0.0,0,6.049295774647884,0.0,1.0,0.4383202058920468,131.0,151.0,567730.6652794854,District 1,R,R,Paul Neumann,California
0.0,D,51.6,18048,1,1882,1882.0,0,5.7901960784313715,0.0,1.0,0.4383202058920468,131.0,151.0,567730.6652794854,District 1,R,R,John Kleiner,Indiana
0.0,R,58.8,15083,1,1884,1884.0,0,5.877142857142855,1.0,1.0,0.4383202058920468,199.0,118.0,567730.6652794854,District 4,D,D,William W. Morrow,California
0.0,R,55.8,17435,1,1884,1884.0,0,7.611111111111111,1.0,1.0,0.4383202058920468,199.0,118.0,567730.6652794854,District 3,D,D,Joseph McKenna,California
1.0,D,42.3,13197,0,1884,0.0,0,7.611111111111111,1.0,1.0,0.4383202058920468,199.0,118.0,567730.6652794854,District 3,D,D,John R. Glascock ,California
0.0,R,47.8,18493,0,1884,0.0,0,5.7901960784313715,1.0,1.0,0.4383202058920468,199.0,118.0,567730.6652794854,District 1,D,D,William H. Gudgel,Indiana
0.0,D,51.5,19930,1,1884,1884.0,0,5.7901960784313715,1.0,1.0,0.4383202058920468,199.0,118.0,567730.6652794854,District 1,D,D,John J. Kleiner,Indiana
0.0,R,49.1,17397,1,1884,1884.0,0,6.1414285714285715,1.0,1.0,0.4383202058920468,199.0,118.0,567730.6652794854,District 6,D,D,Henry Markham,California
0.0,D,47.9,16990,0,1884,0.0,0,6.1414285714285715,1.0,1.0,0.4383202058920468,199.0,118.0,567730.6652794854,District 6,D,D,R. A. Del Valle,California
0.0,D,49.1,18208,0,1884,0.0,0,5.889855072463766,1.0,1.0,0.4383202058920468,199.0,118.0,567730.6652794854,District 2,D,D,Charles Allen Sumner,California
