State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1789,,,,,,,GW,GW,,,GW,,,,,,,,,,GW,GW,,,,,,,,GW,GW,,,,,,,,GW,,GW,,,,,,GW,,,,
1792,,,,,,,GW,GW,,,GW,,,,,,,GW,,,GW,GW,,,,,,,,GW,GW,,GW,GW,,,,,GW,GW,GW,,,,,GW,GW,,,,
1796,,,,,,,F,F,,,DR,,,,,,,DR,,,F,F,,,,,,,,F,F,,F,DR,,,,,DR,F,DR,,DR,,,F,DR,,,,
1800,,,,,,,F,F,,,DR,,,,,,,DR,,,SP,F,,,,,,,,F,F,,DR,DR,,,,,DR,F,DR,,DR,,,F,DR,,,,
1804,,,,,,,F,F,,,DR,,,,,,,DR,,,DR,DR,,,,,,,,DR,DR,,DR,DR,,DR,,,DR,DR,DR,,DR,,,DR,DR,,,,
1808,,,,,,,F,F,,,DR,,,,,,,DR,,,DR,F,,,,,,,,F,DR,,DR,DR,,DR,,,DR,F,DR,,DR,,,DR,DR,,,,
1812,,,,,,,F,F,,,DR,,,,,,,DR,DR,,DR,F,,,,,,,,F,F,,F,DR,,DR,,,DR,F,DR,,DR,,,DR,DR,,,,
1816,,,,,,,F,F,,,DR,,,,DR,,,DR,DR,,DR,F,,,,,,,,DR,DR,,DR,DR,,DR,,,DR,DR,DR,,DR,,,DR,DR,,,,
1820,DR,,,,,,DR,DR,,,DR,,,DR,DR,,,DR,DR,DR,DR,DR,,,DR,DR,,,,DR,DR,,DR,DR,,DR,,,DR,DR,DR,,DR,,,DR,DR,,,,
1824,Jackson,,,,,,Adams,Crawford,,,Crawford,,,Jackson,Jackson,,,Clay,Jackson,Adams,Jackson,Adams,,,Jackson,Jackson,,,,Adams,Jackson,,Adams,Jackson,,Clay,,,Jackson,Adams,Jackson,,Jackson,,,Adams,Crawford,,,,
1828,D,,,,,,NR,NR,,,D,,,D,D,,,D,D,NR,NR,NR,,,D,D,,,,NR,NR,,D,D,,D,,,D,NR,D,,D,,,NR,D,,,,
1832,D,,,,,,NR,NR,,,D,,,D,D,,,NR,D,D,NR,NR,,,D,D,,,,D,D,,D,D,,D,,,D,NR,N,,D,,,AM,D,,,,
1836,D,,,D,,,D,W,,,W,,,D,W,,,W,D,D,W,W,D,,D,D,,,,D,W,,D,D,,W,,,D,D,W,,W,,,W,D,,,,
1840,D,,,D,,,W,W,,,W,,,D,W,,,W,W,W,W,W,W,,W,D,,,,D,W,,W,W,,W,,,W,W,D,,W,,,W,D,,,,
1844,D,,,D,,,W,W,,,D,,,D,D,,,W,D,D,W,W,D,,D,D,,,,D,W,,D,W,,W,,,D,W,D,,W,,,W,D,,,,
1848,D,,,D,,,W,W,,W,W,,,D,D,D,,W,W,D,W,W,D,,D,D,,,,D,W,,W,W,,D,,,W,W,D,,W,D,,W,D,,,D,
1852,D,,,D,D,,D,D,,D,D,,,D,D,D,,W,D,D,D,W,D,,D,D,,,,D,D,,D,D,,D,,,D,D,D,,W,D,,W,D,,,D,
1856,D,,,D,D,,R,D,,D,D,,,D,D,R,,D,D,R,KN,R,R,,D,D,,,,R,D,,R,D,,R,,,D,R,D,,D,D,,R,D,,,R,
1860,SD,,,SD,R,,R,SD,,SD,SD,,,R,R,R,,CU,SD,R,SD,R,R,R,SD,ND,,,,R,R,,R,SD,,R,,R,R,R,SD,,CU,SD,,R,CU,,,R,
1864,,,,,R,,R,D,,,,,,R,R,R,R,D,R,R,R,R,R,R,,R,,,R,R,D,,R,,,R,,R,R,R,,,R,,,R,,,R,R,
1868,R,,,R,R,,R,D,,R,D,,,R,R,R,R,D,D,R,D,R,R,R,,R,,R,R,R,D,,D,R,,R,,D,R,R,R,,R,,,R,,,R,R,
1872,R,,,R,R,,R,R,,R,D,,,R,R,R,R,D,R,R,D,R,R,R,R,D,,R,R,R,R,,R,R,,R,,R,R,R,R,,D,D,,R,R,,R,R,
1876,D,,,D,R,R,D,D,,R,D,,,R,D,R,R,D,R,R,D,R,R,R,D,D,,R,R,R,D,,D,D,,R,,R,R,R,R,,D,D,,R,D,,D,R,
