district,is_incumbent,name,party,percent,state,votes,won,year,first_time_elected,count_victories,unemployement_rate,is_presidential_year,president_can_be_re_elected,president_party,president_overall_avg_job_approval,last_D_house_seats,last_R_house_seats,last_house_majority,fundraising
District 1,0.0,Ratliff Boon,D,42.1,Indiana,4281.0,1,1824,1824.0,0,,,,,,,,,
District 1,1.0,Ratliff Boon,D,42.8,Indiana,5202.0,1,1826,1824.0,1,,,,,,,,,
District 1,1.0,Ratliff Boon,D,52.2,Indiana,7272.0,1,1828,1824.0,2,,,,,,,,,
District 1,0.0,John Law,D,49.1,Indiana,10868.0,0,1830,1860.0,0,,,,,,,,,
District 1,1.0,Ratliff Boon,D,50.9,Indiana,11280.0,1,1830,1824.0,3,,,,,,,,,
District 1,1.0,Ratliff Boon,D,50.6,Indiana,3973.0,1,1832,1824.0,4,,,,,,,,,
District 1,1.0,Ratliff Boon,D,51.4,Indiana,4028.0,1,1834,1824.0,5,,,,,,,,,
District 1,1.0,Ratliff Boon,D,50.4,Indiana,4534.0,1,1836,1824.0,6,,,,,,,,,
District 1,0.0,Robert Dale Owen,D,46.5,Indiana,5229.0,1,1838,1838.0,0,,,,,,,,,
District 1,0.0,Thomas Seymour,D,42.9,Indiana,3867.0,1,1840,1840.0,0,,,,,,,,,
District 1,0.0,Robert Dale Owen,D,52.2,Indiana,6679.0,1,1842,1838.0,1,,,,,,,,,
District 1,1.0,Robert Dale Owen,D,53.7,Indiana,7336.0,1,1844,1838.0,2,,,,,,,,,
District 1,1.0,Robert Dale Owen,D,48.7,Indiana,7054.0,1,1846,1838.0,3,,,,,,,,,
District 1,0.0,Nathaniel Albertson,D,52.1,Indiana,8271.0,1,1848,1848.0,0,,,,,,,,,
District 1,0.0,James Lockhart,D,51.0,Indiana,8173.0,1,1850,1850.0,0,,,,,,,,,
District 1,0.0,Smith Miller,D,59.0,Indiana,9007.0,1,1852,1852.0,0,,,,,,,,,
District 1,1.0,Smith Miller,D,52.2,Indiana,9864.0,1,1854,1852.0,1,,,,,,,,,
District 1,0.0,James Lockhart,D,61.5,Indiana,12747.0,1,1856,1850.0,1,,,,,,,,,
District 1,0.0,James C. Veatch,R,38.5,Indiana,7977.0,0,1856,,0,,,,,,,,,
District 1,0.0,William E. Niblack,D,,Indiana,10329.0,1,1858,1864.0,0,,0.0,1.0,D,,133.0,90.0,D,
District 1,0.0,Alvin P. Hovey,R,46.4,Indiana,8946.0,0,1858,1886.0,0,,0.0,1.0,D,,133.0,90.0,D,
District 1,0.0,John Law,D,55.7,Indiana,13476.0,1,1860,1860.0,0,,1.0,1.0,R,,98.0,116.0,R,
District 1,0.0,Lemuel Debruler,R,44.3,Indiana,10731.0,0,1860,,0,,1.0,1.0,R,,98.0,116.0,R,
District 1,1.0,John Law,D,53.1,Indiana,11963.0,1,1862,1860.0,1,,0.0,1.0,R,,45.0,108.0,R,
District 1,0.0,Donald C. McRuer,R,58.9,California,20370.0,1,1864,1864.0,0,,1.0,0.0,R,,72.0,87.0,R,
District 1,0.0,William E. Niblack,D,53.9,Indiana,14718.0,1,1864,1864.0,1,,1.0,0.0,R,,72.0,87.0,R,
