,district,is_incumbent,name,party,percent,state,votes,won,year
0,District 19,,Randy Neugebauer,R,85.0,Texas,160136.0,1,2012
1,District 19,,Randy Neugebauer,R,78.0,Texas,106059.0,1,2010
2,District 19,,Andy Wilson,D,19.0,Texas,25984.0,0,2010
3,District 19,,Randy Neugebauer,R,72.0,Texas,168501.0,1,2008
4,District 19,,Dwight Fullingim,D,25.0,Texas,58030.0,0,2008
5,District 19,,Randy Neugebauer,R,68.0,Texas,92811.0,1,2006
6,District 19,,Robert Ricketts,D,30.0,Texas,40853.0,0,2006
7,District 19,,Randy Neugebauer,R,58.4,Texas,136459.0,1,2004
8,District 19,,Charles Stenholm,D,40.0,Texas,93531.0,0,2004
9,District 42,1.0,Clair Burgener ,R,67.4,California,155965.0,1,1972
10,District 42,0.0,Bob Lowe,D,29.2,California,67477.0,0,1972
11,District 42,1.0,Lionel Van Deerlin ,D,69.9,California,69746.0,1,1974
12,District 42,0.0,Wes Marden,R,30.1,California,30058.0,0,1974
13,District 42,1.0,Lionel Van Deerlin ,D,76.0,California,103062.0,1,1976
14,District 42,0.0,Wes Marden,R,24.0,California,32565.0,0,1976
15,District 42,1.0,Lionel Van Deerlin ,D,73.7,California,85126.0,1,1978
16,District 42,0.0,Lawrence C. Mattera,R,26.3,California,30319.0,0,1978
17,District 42,,Duncan Hunter,R,53.3,California,79713.0,1,1980
18,District 42,1.0,Lionel Van Deerlin ,D,46.7,California,69936.0,0,1980
19,District 42,1.0,Dan Lungren ,R,69.0,California,142845.0,1,1982
20,District 42,0.0,James P. Spellman,D,28.3,California,58690.0,0,1982
21,District 42,1.0,Dan Lungren ,R,73.0,California,177783.0,1,1984
22,District 42,0.0,Mary Lou Brophy,D,24.6,California,60025.0,0,1984
23,District 42,1.0,Dan Lungren ,R,72.8,California,140364.0,1,1986
24,District 42,0.0,Michael P. Blackburn,D,24.7,California,47586.0,0,1986
25,District 42,,Dana Rohrabacher,R,64.2,California,153280.0,1,1988
26,District 42,,Guy C. Kimbrough,D,33.0,California,78778.0,0,1988
27,District 42,1.0,Dana Rohrabacher ,R,59.3,California,109353.0,1,1990
28,District 42,0.0,Guy C. Kimbrough,D,36.5,California,67189.0,0,1990
29,District 42,1.0,"George Brown, Jr. ",D,50.7,California,79780.0,1,1992
30,District 42,0.0,Dick Rutan,R,44.0,California,69251.0,0,1992
31,District 42,1.0,"George Brown, Jr. ",D,51.12,California,58888.0,1,1994
32,District 42,0.0,Rob Guzman,R,48.83,California,56259.0,0,1994
33,District 42,1.0,"George Brown, Jr. ",D,50.5,California,52166.0,1,1996
34,District 42,0.0,Linda Wilde,R,49.5,California,51170.0,0,1996
35,District 42,1.0,"George Brown, Jr.  ",D,55.29,California,62207.0,1,1998
36,District 42,0.0,Elia Pirozzi,R,40.28,California,45328.0,0,1998
37,District 42,1.0,Joe Baca ,D,59.8,California,90585.0,1,2000
38,District 42,0.0,Eli Pirozzi,R,35.2,California,53239.0,0,2000
39,District 42,1.0,Gary Miller ,R,67.8,California,98476.0,1,2002
40,District 42,0.0,Richard Waldron,D,29.0,California,42090.0,0,2002
41,District 42,1.0,Gary Miller ,R,68.2,California,167632.0,1,2004
42,District 42,0.0,Lewis Myers,D,31.8,California,78393.0,0,2004
43,District 42,1.0,Gary Miller ,R,100.0,California,129720.0,1,2006
44,District 42,1.0,Gary Miller ,R,60.16,California,158404.0,1,2010
45,District 42,0.0,Ed Chau,D,39.84,California,104909.0,0,2010
46,District 42,1.0,Gary Miller ,R,62.0,California,127161.0,1,2010
47,District 42,0.0,Michael Williamson,D,32.0,California,65122.0,0,2010
48,District 42,1.0,Ken Calvert ,R,61.0,California,130245.0,1,2012
49,District 42,0.0,Michael Williamson,D,39.0,California,84702.0,0,2012
50,District 42,1.0,Ken Calvert ,R,66.0,California,74540.0,1,2014
51,District 42,0.0,Tim Sheridan,D,34.0,California,38850.0,0,2014
52,District 42,1.0,Ken Calvert ,R,58.8,California,149547.0,1,2016
53,District 42,0.0,Tim Sheridan,D,41.2,California,104689.0,0,2016
54,District 3,,Rosa DeLauro,D,52.0,Connecticut,90772.0,1,1990
55,District 3,,Tom Scott,R,48.0,Connecticut,83440.0,0,1990
